patent_id,image_label,text_label,text_confidence,arch_final,provenance,review_comment,decided_at
US2022306293A1,TR,CVT,H,,pending,,
US2022388649A1,TR,CVT,M,,pending,,
US2023026745A1,TR,CVT,M,,pending,,
US2023286650A1,TR,CVT,H,,pending,,
US2024132207A1,TR,TW,H,,pending,,
US2024253778A1,TR,CVT,H,,pending,,
CN108657426A,TW,TR,H,,pending,,
CN109606635A,TW,TR,M,,pending,,
FR3074779A1,TW,TB,H,,pending,,
GB201307739D0,TW,SRW,M,,pending,,
GB201801059D0,TW,TB,M,,pending,,
JP2023526056A,TW,TB,M,,pending,,
US2009283644A1,TW,TR,M,,pending,,
US2015251749A1,TW,TR,L,,pending,,
US2015375860A1,TW,TR,H,,pending,,
US2020361601A1,TW,TR,M,,pending,,
US2021331791A1,TW,DS,H,,pending,,
US2022097837A1,TW,TR,M,,pending,,
US2022097840A1,TW,TB,H,,pending,,
US2022135204A1,TW,TR,H,,pending,,
US2023257114A1,TW,CVT,H,,pending,,
US9957042B1,TW,SLC,H,,pending,,
WO2015094020A2,TW,TR,M,,pending,,
WO2023021054A1,DS,DS,L,,pending,,
CN106314794A,MR,MR,L,,pending,,
DE102020202612A1,MR,MR,L,,pending,,
US2018244367A1,MR,MR,L,,pending,,
RU2759061C1,SLC,SLC,L,,pending,,
US2022194618A1,SLC,SLC,L,,pending,,
EP4506770A1,TR,TR,L,,pending,,
US2018334240A1,TR,TR,L,,pending,,
US2023257132A1,CVT,NS,L,CVT,not_stated,,
EP3998191A1,DS,NS,L,DS,not_stated,,
US2022355922A1,HB,NS,L,HB,not_stated,,
CN120135432A,MR,NS,L,MR,not_stated,,
DE102024122189A1,MR,NS,L,MR,not_stated,,
KR20060074923A,MR,NS,L,MR,not_stated,,
US2007221779A1,MR,NS,L,MR,not_stated,,
US2020307767A1,MR,NS,L,MR,not_stated,,
US2020361622A1,MR,NS,L,MR,not_stated,,
US2021094674A1,MR,NS,L,MR,not_stated,,
US2023303454A1,MR,NS,L,MR,not_stated,,
USD912602S,MR,NS,L,MR,not_stated,,
US2019161188A1,PFV,NS,L,PFV,not_stated,,
US2021171188A1,PFV,NS,L,PFV,not_stated,,
US2022375449A1,PFV,NS,L,PFV,not_stated,,
US2025304243A1,PFV,NS,L,PFV,not_stated,,
US2021291973A1,PTC,NS,L,PTC,not_stated,,
US2022126998A1,PTC,NS,L,PTC,not_stated,,
US2024154490A1,PTC,NS,L,PTC,not_stated,,
DE102018116158A1,RC,NS,L,RC,not_stated,,
CN115583348A,SLC,NS,L,SLC,not_stated,,
CN119231794A,SLC,NS,L,SLC,not_stated,,
CN119262274A,SLC,NS,L,SLC,not_stated,,
DE102023133781B3,SLC,NS,L,SLC,not_stated,,
FR3033363A1,SLC,NS,L,SLC,not_stated,,
FR3119159A1,SLC,NS,L,SLC,not_stated,,
FR3143549A1,SLC,NS,L,SLC,known_aircraft,,
US2008169375A1,SLC,NS,L,SLC,not_stated,,
US2021284333A1,SLC,NS,L,SLC,not_stated,,
US2021309382A1,SLC,NS,L,SLC,not_stated,,
US2023006598A1,SLC,NS,L,SLC,not_stated,,
US2023192280A1,SLC,NS,L,SLC,not_stated,,
US2023339601A1,SLC,NS,L,SLC,not_stated,,
US2024051687A1,SLC,NS,L,SLC,not_stated,,
US2024097521A1,SLC,NS,L,SLC,not_stated,,
US2025019086A1,SLC,NS,L,SLC,not_stated,,
US2025162736A1,SLC,NS,L,SLC,not_stated,,
US2025242909A1,SLC,NS,L,SLC,not_stated,,
USD1017462S,SLC,NS,L,SLC,not_stated,,
USD902828S,SLC,NS,L,SLC,known_aircraft,,
WO2010132901A1,SLC,NS,L,SLC,not_stated,,
WO2024151705A1,SLC,NS,L,SLC,not_stated,,
US2018339773A1,TB,NS,L,TB,not_stated,,
US2020148345A1,TB,NS,L,TB,not_stated,,
US2025083808A1,TB,NS,L,TB,not_stated,,
US2025256840A1,TB,NS,L,TB,not_stated,,
DE102019006484B3,TR,NS,L,TR,not_stated,,
GB202210440D0,TR,NS,L,TR,not_stated,,
GB202410221D0,TR,NS,L,TR,not_stated,,
ITPI20130073A1,TR,NS,L,TR,not_stated,,
US2010171001A1,TR,NS,L,TR,not_stated,,
US2011259687A1,TR,NS,L,TR,not_stated,,
US2015191243A1,TR,NS,L,TR,not_stated,,
US2018370626A1,TR,NS,L,TR,not_stated,,
US2019063574A1,TR,NS,L,TR,not_stated,,
US2019144100A1,TR,NS,L,TR,not_stated,,
US2020115035A1,TR,NS,L,TR,not_stated,,
US2023067713A1,TR,NS,L,TR,not_stated,,
US2024167561A1,TR,NS,L,TR,not_stated,,
US2024246668A1,TR,NS,L,TR,not_stated,,
WO2016004852A1,TR,NS,L,TR,not_stated,,
WO2026024461A1,TR,NS,L,TR,known_aircraft,,
US11688723B1,TW,NS,L,TW,not_stated,,
